network,station_code,label,active,lon,lat,elevation,station_type
IMIS,ADE2,Engstligenalp,True,7.582633,46.434365,2304,SNOW_FLAT
IMIS,ADE3,Lavey-Sattligrat,True,7.490138,46.475527,2355,FLOWCAPT
IMIS,ALB2,Teststation Albula,True,9.836224,46.580945,2322,SNOW_FLAT
IMIS,ALI1,Vanil des Artses,True,6.987282,46.482248,1989,WIND
IMIS,ALI2,Chenau,True,6.993298,46.488632,1708,SNOW_FLAT
IMIS,AMD1,Mattstock,True,9.135592,47.169691,1932,WIND
IMIS,AMD2,Bärenfall,True,9.146883,47.170837,1610,SNOW_FLAT
IMIS,ANV1,Corne de Sorebois,True,7.586665,46.150764,2895,WIND
IMIS,ANV2,Orzival,True,7.535372,46.188277,2640,SNOW_FLAT
IMIS,ANV3,Tracuit,True,7.656401,46.121164,2589,SNOW_FLAT
IMIS,ARO1,La Cassorte,True,7.435290,46.035367,3300,WIND
IMIS,ARO2,Les Fontanesses,True,7.445855,46.028782,2847,SNOW_FLAT
IMIS,ARO3,Bréona,True,7.562060,46.087420,2602,SNOW_FLAT
IMIS,ATT2,Lac des Vaux,True,7.269918,46.105287,2550,SNOW_FLAT
IMIS,AUE2,Teststation Auerenalp,False,9.010238,47.056179,1920,SNOW_FLAT
IMIS,BAG1,Col du Creblet,False,7.266320,46.102097,2659,FLOWCAPT
IMIS,BAR2,Teststation La Dôle,False,6.120228,46.428822,1513,SNOW_FLAT
IMIS,BED1,Lucendro,True,8.519466,46.538890,2963,WIND
IMIS,BED2,Cavanna,False,8.511103,46.532663,2420,SNOW_FLAT
IMIS,BED3,Cassinello,True,8.521914,46.491159,2101,SNOW_FLAT
IMIS,BED4,Sabbioni,True,8.496418,46.525630,2305,SNOW_FLAT
IMIS,BEL2,Belalp,True,7.974175,46.394846,2554,SNOW_FLAT
IMIS,BER1,Lagalb,True,10.023643,46.431481,2956,WIND
IMIS,BER2,Motta Bianca,True,10.029201,46.420571,2447,SNOW_FLAT
IMIS,BER3,Puoz Bass,True,9.915890,46.440915,2625,SNOW_FLAT
IMIS,BEV1,Cho d'Valetta,True,9.853534,46.548854,2490,WIND
IMIS,BEV2,Valetta,True,9.837090,46.539564,2512,SNOW_FLAT
IMIS,BIN2,Teststation1 Binntal,False,8.267822,46.373469,2250,SNOW_FLAT
IMIS,BIN3,Teststation2 Binntal,False,8.207829,46.347848,2355,SNOW_FLAT
IMIS,BIN4,Schapleralpa,True,8.208991,46.348227,2354,SNOW_FLAT
IMIS,BOG1,Martschenspitz,True,8.460046,46.328267,2688,WIND
IMIS,BOG2,Hendar Furggu,True,8.471618,46.333803,2299,SNOW_FLAT
IMIS,BOG3,Pizzo Bombögn,True,8.490981,46.306222,2179,SNOW_SLOPE
IMIS,BOR2,Bortelsee,True,8.109302,46.290531,2517,SNOW_FLAT
IMIS,BOV1,Pointe de Boveire,True,7.239881,45.994521,3211,WIND
IMIS,BOV2,Pointe de Toules,True,7.237207,45.984792,2687,SNOW_FLAT
IMIS,CAM1,Tremorgio,True,8.700381,46.482695,2668,WIND
IMIS,CAM2,Fontane,True,8.717472,46.465725,2216,SNOW_FLAT
IMIS,CAM3,Solco,True,8.708883,46.487575,2257,SNOW_SLOPE
IMIS,CHA1,La Para,True,7.152452,46.382898,2540,WIND
IMIS,CHA2,Pierres Fendues,True,7.163986,46.376962,2218,SNOW_FLAT
IMIS,CHA3,Col de Bretaye,True,7.073748,46.325197,1780,SNOW_FLAT
IMIS,CMA2,La Fuorcla,True,9.183455,46.846872,2325,SNOW_FLAT
IMIS,CON2,Etang de Trente Pas,True,7.274208,46.289739,2229,SNOW_FLAT
IMIS,COR2,Corte Lagoni,False,9.070731,46.123931,1813,SNOW_FLAT
IMIS,CSL2,Col du Chasseral,True,7.031337,47.116315,1455,SNOW_FLAT
IMIS,DAV1,Chrachenhorn,True,9.814310,46.688510,2890,WIND
IMIS,DAV2,Bärentälli,True,9.819411,46.698888,2558,SNOW_FLAT
IMIS,DAV3,Hanengretji,True,9.773990,46.788833,2455,SNOW_FLAT
IMIS,DAV4,Frauentobel,True,9.784702,46.784194,2330,FLOWCAPT
IMIS,DAV5,Grüeniberg,False,9.790018,46.791617,2315,SNOW_SLOPE
IMIS,DAV6,Luksch Alp,True,9.891263,46.782594,2290,SNOW_FLAT
IMIS,DIA2,Tsanfleuron,True,7.241038,46.315404,2569,SNOW_FLAT
IMIS,DTR1,Costa,True,8.866094,46.548067,2388,WIND
IMIS,DTR2,Preda,True,8.869060,46.542866,2057,SNOW_FLAT
IMIS,EGH2,Flesch,True,8.091715,46.416811,2500,SNOW_FLAT
IMIS,ELA1,Piz Salteras,True,9.708234,46.581528,3110,WIND
IMIS,ELA2,Tschitta,True,9.714694,46.591425,2726,SNOW_FLAT
IMIS,ELA3,Muot,True,9.769788,46.603034,2306,FLOWCAPT
IMIS,ELM1,Mittler Blistock,True,9.120569,46.931471,2447,WIND
IMIS,ELM2,Chüebodensee,True,9.136501,46.935609,2058,SNOW_FLAT
IMIS,ELS1,Elsighorn,True,7.639640,46.534689,2340,WIND
IMIS,ELS2,Elsige,True,7.641641,46.529602,2143,SNOW_FLAT
IMIS,ENG1,Gulderstock,True,9.201583,46.993127,2510,WIND
IMIS,ENG2,Fitteren,True,9.189448,46.992782,2162,SNOW_FLAT
IMIS,ERN1,"Ernergalen, Windstation",False,8.233355,46.416222,2600,WIND
IMIS,ERN2,"Ernergalen, Schneestation",False,8.232777,46.421174,2450,SNOW_FLAT
